date,team_name,opponent_name,site,points_for,poss
2018-11-06,Minnesota,Omaha,H,104,79.925
2018-11-06,Omaha,Minnesota,A,76,79.075
2018-11-06,Presbyterian,Charleston,A,73,71.65
2018-11-06,Memphis,Tennessee Tech,H,76,81.225
2018-11-06,UC Santa Barbara,Wyoming,A,76,71.825
2018-11-06,Nebraska,Mississippi Valley State,H,106,77.4
2018-11-06,Michigan State,Kansas,N,87,88.625
2018-11-06,South Florida,Alabama A&M,H,80,72.55
2018-11-06,Purdue,Fairfield,H,90,71.125
2018-11-06,Michigan,Norfolk State,H,63,71.775
2018-11-06,Pacific,SIU Edwardsville,A,74,71.45
2018-11-06,Wisconsin,Coppin State,H,85,67.35
2018-11-06,Temple,La Salle,H,75,75.1
2018-11-06,Maryland,Delaware,H,73,73.25
2018-11-06,CSU Fullerton,Arizona State,A,94,99.35
2018-11-06,UC Riverside,Oregon State,A,59,67.8
2018-11-06,CSU Northridge,New Mexico,H,84,84.975
2018-11-06,BYU,Nevada,A,70,78.025
2018-11-06,San Diego,Weber State,H,83,69.55
2018-11-06,Tulsa,Alcorn State,H,73,70.2
2018-11-06,Louisiana Tech,Wichita State,A,71,74.15
2018-11-06,South Dakota St,Grand Canyon,H,79,73.35
2018-11-06,Charlotte,Chattanooga,H,69,68.925
2018-11-06,Western Illinois,Creighton,A,67,74.275
2018-11-06,Utah State,Montana State,A,101,79.35
2018-11-06,Wyoming,UC Santa Barbara,H,66,70.825
2018-11-06,Bryant,Rhode Island,A,63,82.35
2018-11-06,Central Connecticut,Hartford,A,75,71.5
2018-11-06,Wofford,North Carolina,H,67,68.225
2018-11-06,Idaho State,Gonzaga,A,79,79.175
2018-11-06,Cent Arkansas,Missouri,A,55,71.8
2018-11-06,Binghamton,Cornell,H,75,82.075
2018-11-06,Winthrop,Vanderbilt,A,79,81.4
2018-11-06,Indiana,Chicago State,H,104,84.675
2018-11-06,Delaware,Maryland,A,67,73.225
2018-11-06,Elon,Manhattan,A,62,63.55
2018-11-06,San Francisco,UC Davis,A,76,68.7
2018-11-06,Georgia State,East Tennessee St,H,74,69.775
2018-11-06,Davidson,Cleveland State,H,83,72.175
2018-11-06,Northeastern,Boston U,H,74,69.4
2018-11-06,Charleston,Presbyterian,H,85,68.35
2018-11-06,Towson,Virginia,A,42,56.825
2018-11-06,North Carolina A&T,UNC Greensboro,H,66,63.975
2018-11-06,UNC Wilmington,Campbell,A,93,83.825
2018-11-06,Wichita State,Louisiana Tech,H,58,73.35
2018-11-06,UC Davis,San Francisco,H,42,69.7
